Week,Kia Challenge,Kia Boyz,Kia theft,How to Steal Kia,Kia USB
2022-01-02,0,0,0,0,0
2022-01-09,0,0,0,0,2
2022-01-16,0,0,0,0,0
2022-01-23,0,0,2,0,3
2022-01-30,0,0,0,0,0
2022-02-06,0,0,0,0,2
2022-02-13,0,0,2,0,2
2022-02-20,0,0,0,0,1
2022-02-27,0,0,0,0,1
2022-03-06,0,0,1,0,2
2022-03-13,0,0,2,0,2
2022-03-20,0,0,2,0,1
2022-03-27,0,0,2,0,3
2022-04-03,0,0,1,0,1
2022-04-10,1,0,2,0,2
2022-04-17,0,0,2,0,0
2022-04-24,0,0,1,0,1
2022-05-01,0,0,0,0,1
2022-05-08,0,0,1,0,1
2022-05-15,0,0,0,0,2
2022-05-22,0,0,0,0,2
2022-05-29,0,0,2,0,2
2022-06-05,0,0,0,0,2
2022-06-12,0,2,2,0,1
2022-06-19,0,1,2,0,2
2022-06-26,0,2,2,0,3
2022-07-03,0,1,2,0,2
2022-07-10,0,3,4,2,2
2022-07-17,7,2,8,2,5
2022-07-24,75,5,13,4,24
2022-07-31,18,6,13,4,19
2022-08-07,19,5,14,4,22
2022-08-14,28,6,21,4,15
2022-08-21,9,7,11,1,7
2022-08-28,6,6,10,1,7
2022-09-04,7,9,9,2,8
2022-09-11,5,7,9,0,9
2022-09-18,6,4,8,0,5
2022-09-25,0,4,6,0,5
2022-10-02,3,6,6,0,4
2022-10-09,3,5,7,0,6
2022-10-16,4,5,5,0,5
2022-10-23,100,7,10,4,12
2022-10-30,22,4,6,0,5
2022-11-06,6,4,5,1,2
2022-11-13,4,4,5,0,3
2022-11-20,4,4,4,0,3
2022-11-27,3,6,5,0,4
2022-12-04,4,2,5,0,3
2022-12-11,10,6,6,0,3
2022-12-18,4,2,5,0,5
2022-12-25,5,1,6,0,6
2023-01-01,5,1,5,0,4
2023-01-08,5,2,6,2,5
2023-01-15,6,2,10,1,5
2023-01-22,5,0,12,2,6
2023-01-29,6,4,20,2,8
2023-02-05,3,1,13,2,4
2023-02-12,10,2,18,2,5
2023-02-19,5,2,16,1,6
2023-02-26,4,3,12,0,4
2023-03-05,4,2,13,0,3
2023-03-12,4,2,14,0,5
2023-03-19,5,2,15,0,6
2023-03-26,5,2,12,0,4
2023-04-02,3,2,10,0,3
2023-04-09,3,1,10,2,4
2023-04-16,5,2,16,1,5
2023-04-23,3,2,15,0,4
2023-04-30,6,7,14,0,4
2023-05-07,5,2,14,1,5
2023-05-14,4,4,21,1,5
2023-05-21,6,5,19,0,5
2023-05-28,3,4,14,2,4
2023-06-04,5,3,18,0,3
2023-06-11,4,4,16,0,5
2023-06-18,3,3,14,0,4
2023-06-25,4,4,16,0,4
2023-07-02,4,3,16,0,5
2023-07-09,3,3,14,0,3
2023-07-16,3,2,15,2,3
2023-07-23,3,2,16,2,4
2023-07-30,3,3,15,0,4
2023-08-06,2,2,14,0,5
2023-08-13,3,2,15,0,5
2023-08-20,3,2,15,0,4
2023-08-27,3,2,13,0,4
2023-09-03,2,0,14,1,3
2023-09-10,4,2,11,0,3
2023-09-17,2,2,12,0,2
2023-09-24,2,2,12,0,3
2023-10-01,2,3,11,0,3
2023-10-08,2,2,9,0,3
2023-10-15,2,2,11,0,3
2023-10-22,2,2,11,1,3
2023-10-29,1,2,10,0,3
2023-11-05,2,2,10,0,4
2023-11-12,1,4,10,0,3
2023-11-19,0,4,8,2,3
2023-11-26,2,3,12,0,4
2023-12-03,0,3,8,1,3
2023-12-10,0,3,10,0,4
2023-12-17,2,2,9,0,3
2023-12-24,2,2,9,0,3
2023-12-31,2,2,10,0,3
2024-01-07,0,2,9,0,3
2024-01-14,1,2,8,0,3
2024-01-21,1,3,7,1,3
2024-01-28,1,0,8,0,3
2024-02-04,0,2,7,0,2
2024-02-11,3,2,12,0,3
2024-02-18,2,2,26,0,2
2024-02-25,2,2,36,0,2
2024-03-03,0,2,22,0,3
2024-03-10,2,2,13,0,3
2024-03-17,2,2,10,0,3
2024-03-24,0,3,9,0,3
2024-03-31,2,0,8,0,3
2024-04-07,<1,1,7,<1,1
2024-04-14,1,3,9,1,3
2024-04-21,1,8,9,1,3